NumeroArticulo,DescripcionArticulo,EnStock,UnidadMedida,GrupoArticulos,UltimaFechaCompra,UltimoPrecioCompra,UltimaMonedaCompra
RP2601,FILTRO ACEITE RE504836, 2.000 ,UNIDAD,REPUESTOS,22/04/2020, 703.590 ,COR
RP2602,FILTRO SEPARADOR RE541922, 2.000 ,UNIDAD,REPUESTOS,06/09/2019," 1,335.200 ",COR
RP2603,FILTRO AIRE RE172235, 3.000 ,UNIDAD,REPUESTOS,06/09/2019," 2,181.860 ",COR
RP2606,BALINERA 6312-C3, 4.000 ,UNIDAD,REPUESTOS,14/06/2022, 73.088 ,USD
RP2607,BALINERA SKF SNL 513-611, 7.000 ,UNIDAD,REPUESTOS,05/11/2021, 100.840 ,USD
RP2608,RETENEDOR TSN 513 C, 1.000 ,UNIDAD,REPUESTOS,11/09/2019, 24.440 ,USD
RP2620,CHUMACERA SKF FY511 SY 2 TF, 3.000 ,UNIDAD,REPUESTOS,14/07/2020, 68.560 ,USD
RP2621,CHUMACERA SKF UCF212 FY 60 TF, 9.000 ,UNIDAD,REPUESTOS,19/11/2025," 5,120.000 ",COR
RP263,SELLO SKF TSN517L, 9.000 ,UNIDAD,REPUESTOS,02/04/2025," 1,012.824 ",COR
RP2633,PERFIL POLYSTONE G 5MM, 20.000 ,UNIDAD,REPUESTOS,24/04/2021," 1,105.220 ",COR
RP2638,INSERT 56219880, 8.000 ,UNIDAD,REPUESTOS,31/01/2021," 5,166.170 ",COR
RP2639,ANILLO 22340633, 4.000 ,UNIDAD,REPUESTOS,23/09/2019, 54.690 ,COR
RP2640,CILINDRO CON PISTON FS-220 (4119-020-1204) 38MM, 1.000 ,UNIDAD,REPUESTOS,02/10/2023, 64.810 ,USD
RP2642,KIT DE SELLOS CILINDRO HIDRAULICO CONTRA PUNTO TORNILLO, 6.000 ,UNIDAD,REPUESTOS,28/10/2022, 216.553 ,USD
RP2650,BARRA LED 12V DE 40P, 1.000 ,UNIDAD,REPUESTOS,09/02/2021," 3,250.000 ",COR
RP2656,CHUMACERA TENSORA UCT-318 EJE 90MM, 2.000 ,UNIDAD,REPUESTOS,18/04/2023, 734.400 ,USD
RP2657,SET DE O RING PARA HD Y HDS, 2.000 ,UNIDAD,REPUESTOS,17/09/2022, 5.000 ,USD
RP2659,VALVULA GAVETA ROSC CLASE 800-1 Pulgadas, 5.000 ,UNIDAD,REPUESTOS,18/01/2022, 57.777 ,USD
RP2662,INTERRUPTOR BATERIA 7N-0718, 2.000 ,UNIDAD,REPUESTOS,25/01/2022, 153.030 ,USD
RP2663,RETENEDOR 160X190X15, 12.000 ,UNIDAD,REPUESTOS,22/01/2026, 451.150 ,COR
RP2668,CAMISA ACERO FORJADO DE 1 Pulgadas, 3.000 ,UNIDAD,REPUESTOS,13/10/2019, 145.350 ,COR
RP2669,BALINERA SKF 6207-2RS1, 3.000 ,UNIDAD,REPUESTOS,14/06/2022, 11.376 ,USD
RP2670,KIT DE REPARACION ANTORCHA VICTOR, 2.000 ,UNIDAD,REPUESTOS,10/10/2019," 1,124.000 ",COR
RP2673,CHUMACERA SKF FY510, 2.000 ,UNIDAD,REPUESTOS,24/03/2022," 2,107.000 ",COR
RP2675,VALVULA DE PRESION 2S-5926, 4.000 ,UNIDAD,REPUESTOS,28/07/2020, 419.010 ,COR
RP2676,VALVULA DE LLENADO YM360-2292, 4.000 ,UNIDAD,REPUESTOS,28/07/2020, 501.240 ,COR
RP2681,PERNO HEX 5/16X3, 96.000 ,UNIDAD,REPUESTOS,15/10/2019, 4.220 ,COR
RP2683,ARANDELA PLANA M20 METRICA, 774.000 ,UNIDAD,REPUESTOS,06/10/2021, 11.440 ,COR
RP2684,ARANDELA DE PRESION M20  METRICA, 603.000 ,UNIDAD,REPUESTOS,06/10/2021, 8.530 ,COR
RP2687,JUNTA ESPIROMETALICA DE 2 1/2 Pulgadas, 9.000 ,UNIDAD,REPUESTOS,22/03/2021, 4.563 ,USD
